ticker,market,date,dividend,split_ratio,raw_overnight_gap_pct,adjusted_overnight_gap_pct,absolute_gap_reduction_pct_point,raw_smma200_change_pct,adjusted_smma200_change_pct,smma200_jump_reduction_pct_point
005930.KS,KRX,2023-09-26,361.0,0.0,0.8646,1.392,-0.5274,,,
005930.KS,KRX,2023-12-27,361.0,0.0,0.1305,0.6047,-0.4741,,,
005930.KS,KRX,2024-03-28,361.0,0.0,-0.5013,-0.0491,0.4522,,,
005930.KS,KRX,2024-06-27,361.0,0.0,0.0,0.446,-0.446,0.053682,0.05963,-0.005947
005930.KS,KRX,2024-09-27,361.0,0.0,0.0,0.5611,-0.5611,-0.068576,-0.062783,0.005793
005930.KS,KRX,2024-12-27,363.0,0.0,-0.1866,0.494,-0.3075,-0.114622,-0.107908,0.006714
005930.KS,KRX,2025-03-28,365.0,0.0,-1.7799,-1.1964,0.5836,-0.045029,-0.03607,0.008959
005930.KS,KRX,2025-06-27,367.0,0.0,-0.1661,0.4462,-0.2801,-0.023037,-0.012884,0.010153
005930.KS,KRX,2025-09-29,370.0,0.0,0.0,0.4462,-0.4462,0.141391,0.153806,-0.012415
005930.KS,KRX,2025-12-29,566.0,0.0,2.0513,2.5474,-0.4961,0.298013,0.311948,-0.013935
005930.KS,KRX,2026-03-30,372.0,0.0,-5.0527,-4.8562,0.1965,0.386225,0.396678,-0.010453
000660.KS,KRX,2023-09-26,300.0,0.0,0.0,0.2571,-0.2571,,,
000660.KS,KRX,2023-12-27,300.0,0.0,-0.071,0.1422,-0.0713,,,
000660.KS,KRX,2024-03-28,300.0,0.0,-1.766,-1.6031,0.1629,,,
000660.KS,KRX,2024-06-27,300.0,0.0,-3.1646,-3.0418,0.1227,0.288404,0.291208,-0.002804
000660.KS,KRX,2024-09-27,300.0,0.0,3.6484,3.8206,-0.1722,0.072468,0.074813,-0.002346
000660.KS,KRX,2025-02-27,1304.0,0.0,0.7389,1.3902,-0.6513,0.079122,0.084221,-0.005099
000660.KS,KRX,2025-05-29,375.0,0.0,3.125,3.3113,-0.1863,0.097773,0.10261,-0.004837
000660.KS,KRX,2025-08-28,375.0,0.0,-2.3077,-2.1666,0.1411,0.170513,0.174998,-0.004485
000660.KS,KRX,2025-11-27,375.0,0.0,2.0992,2.1724,-0.0731,0.525897,0.530459,-0.004562
000660.KS,KRX,2026-02-26,1875.0,0.0,0.5894,0.775,-0.1856,0.92739,0.933276,-0.005885
000660.KS,KRX,2026-05-28,375.0,0.0,-2.4075,-2.3912,0.0163,1.353464,1.357276,-0.003812
207940.KS,KRX,2025-09-29,0.0,0.650391,0.4,0.4,0.0,0.018598,0.018598,0.0
005380.KS,KRX,2023-09-26,1500.0,0.0,-0.6739,0.1045,0.5694,,,
005380.KS,KRX,2024-02-28,8400.0,0.0,-1.8868,1.6949,0.1919,,,
005380.KS,KRX,2024-03-28,2000.0,0.0,0.8197,1.6529,-0.8332,,,
005380.KS,KRX,2024-06-27,2000.0,0.0,-0.8636,-0.1739,0.6897,0.195016,0.219312,-0.024296
005380.KS,KRX,2024-09-27,2000.0,0.0,-0.5792,0.1946,0.3846,0.066379,0.084595,-0.018216
005380.KS,KRX,2025-02-27,6000.0,0.0,-2.1951,0.7538,1.4414,-0.046041,-0.02315,0.022891
005380.KS,KRX,2025-05-29,2500.0,0.0,1.9903,3.3806,-1.3903,-0.0524,-0.029064,0.023336
005380.KS,KRX,2025-08-28,2500.0,0.0,-0.6818,0.4598,0.2221,0.02242,0.048424,-0.026004
005380.KS,KRX,2025-11-27,2500.0,0.0,0.0,0.9653,-0.9653,0.093328,0.120039,-0.026711
005380.KS,KRX,2026-02-26,2500.0,0.0,0.3497,0.7902,-0.4405,0.642056,0.678282,-0.036226
005380.KS,KRX,2026-05-28,2500.0,0.0,4.1116,4.4952,-0.3836,0.489376,0.51086,-0.021485
000270.KS,KRX,2024-03-19,5600.0,0.0,-3.75,0.6536,3.0964,,,
000270.KS,KRX,2025-03-18,6500.0,0.0,-5.5668,1.0834,4.4834,-0.017031,0.023083,-0.006052
000270.KS,KRX,2026-03-24,6800.0,0.0,1.4224,5.8748,-4.4524,0.177599,0.221078,-0.043479
068270.KS,KRX,2023-12-27,436.07187,0.0,0.0,0.2655,-0.2655,,,
068270.KS,KRX,2024-12-27,654.1078,1.05,0.4491,0.844,-0.3949,0.028752,0.031131,-0.002379
068270.KS,KRX,2025-06-09,0.0,1.04,1.4494,1.4494,0.0,-0.012206,-0.010907,0.001299
068270.KS,KRX,2025-12-29,714.2857,0.0,-0.6667,-0.251,0.4156,0.031957,0.034868,-0.002911
068270.KS,KRX,2026-06-04,0.0,1.05,1.256,1.256,0.0,0.001733,0.003241,-0.001508
105560.KS,KRX,2023-09-26,510.0,0.0,-1.0453,-0.1582,0.8871,,,
105560.KS,KRX,2024-02-28,1530.0,0.0,-0.641,1.8564,-1.2154,,,
105560.KS,KRX,2024-03-28,784.0,0.0,1.4493,2.6152,-1.166,,,
105560.KS,KRX,2024-06-27,791.0,0.0,-0.8872,0.1165,0.7707,0.13679,0.158269,-0.021478
105560.KS,KRX,2024-09-27,795.0,0.0,2.3399,3.3518,-1.0119,0.118893,0.138922,-0.020029
105560.KS,KRX,2025-02-27,804.0,0.0,0.0,0.9963,-0.9963,0.032368,0.046985,-0.014618
105560.KS,KRX,2025-05-09,912.0,0.0,-2.4339,-1.4831,0.9508,0.097901,0.116569,-0.018668
105560.KS,KRX,2025-08-08,920.0,0.0,-0.9565,-0.1578,0.7987,0.16348,0.182382,-0.018902
105560.KS,KRX,2025-11-13,930.0,0.0,2.0045,2.7136,-0.7092,0.213054,0.231512,-0.018458
105560.KS,KRX,2026-02-26,1605.0,0.0,-0.1789,0.7857,-0.6068,0.28146,0.301681,-0.020221
105560.KS,KRX,2026-05-07,1143.0,0.0,2.1397,2.8797,-0.74,0.196298,0.214351,-0.018052
055550.KS,KRX,2023-09-26,525.0,0.0,-1.4825,-0.0684,1.4141,,,
055550.KS,KRX,2024-02-22,525.0,0.0,-0.3484,0.8818,-0.5334,,,
055550.KS,KRX,2024-03-28,540.0,0.0,0.5319,1.7004,-1.1685,,,
055550.KS,KRX,2024-06-27,540.0,0.0,-1.574,-0.4458,1.1282,0.083105,0.100131,-0.017026
055550.KS,KRX,2024-09-27,540.0,0.0,-1.0526,-0.1063,0.9464,0.133035,0.151426,-0.018391
055550.KS,KRX,2025-02-20,540.0,0.0,-0.8256,0.2922,0.5334,0.000336,0.01449,-0.014154
055550.KS,KRX,2025-04-30,570.0,0.0,0.0,1.1439,-1.1439,0.044048,0.062444,-0.018396
055550.KS,KRX,2025-07-31,570.0,0.0,-1.016,-0.1902,0.8257,0.167628,0.188584,-0.020956
055550.KS,KRX,2025-11-03,570.0,0.0,-0.955,-0.1787,0.7762,0.164087,0.183272,-0.019186
055550.KS,KRX,2026-02-19,880.0,0.0,0.0,0.866,-0.866,0.288775,0.309509,-0.020734
055550.KS,KRX,2026-04-29,740.0,0.0,0.1001,0.8471,-0.747,0.210326,0.228883,-0.018557
005490.KS,KRX,2023-09-26,2500.0,0.0,0.0,0.466,-0.466,,,
005490.KS,KRX,2024-02-28,2500.0,0.0,0.7026,1.2957,-0.5931,,,
005490.KS,KRX,2024-03-28,2500.0,0.0,0.3505,0.9401,-0.5896,,,
005490.KS,KRX,2024-06-27,2500.0,0.0,-0.1374,0.5532,-0.4159,-0.111838,-0.105342,0.006496
005490.KS,KRX,2024-09-27,2500.0,0.0,1.1749,1.8397,-0.6648,-0.054603,-0.045829,0.008774
005490.KS,KRX,2025-02-27,2500.0,0.0,0.0,0.8944,-0.8944,-0.126353,-0.117824,0.008529
005490.KS,KRX,2025-05-27,2500.0,0.0,-1.0352,-0.0,1.0352,-0.160535,-0.150738,0.009797
005490.KS,KRX,2025-08-26,2500.0,0.0,-1.1438,-0.3295,0.8143,-0.052837,-0.039247,0.01359
005490.KS,KRX,2025-11-25,2500.0,0.0,0.9917,1.8333,-0.8416,-0.035234,-0.020571,0.014663
005490.KS,KRX,2026-02-26,2500.0,0.0,2.706,3.3416,-0.6356,0.121861,0.139957,-0.018096
005490.KS,KRX,2026-05-26,2000.0,0.0,2.2346,2.6936,-0.459,0.139349,0.155286,-0.015937
035420.KS,KRX,2023-12-27,790.0,0.0,0.232,0.6008,-0.3688,,,
035420.KS,KRX,2025-02-27,1130.0,0.0,-0.432,0.0564,0.3755,0.063034,0.066253,-0.003219
035420.KS,KRX,2026-02-26,2630.0,0.0,2.1739,3.2472,-1.0733,0.077133,0.084046,-0.006913
035720.KS,KRX,2024-02-28,61.0,0.0,0.0,0.1075,-0.1075,,,
035720.KS,KRX,2024-05-02,0.0,0.9956,-0.9259,-0.9259,-0.0,,,
035720.KS,KRX,2025-03-07,68.0,0.0,-1.4412,-1.2924,0.1488,0.003409,0.004343,-0.000934
035720.KS,KRX,2026-03-09,75.0,0.0,-6.5299,-6.3989,0.131,-0.023354,-0.022471,0.000883
051910.KS,KRX,2023-12-27,3500.0,0.0,0.0,0.7187,-0.7187,,,
051910.KS,KRX,2025-03-28,1000.0,0.0,0.9294,1.306,-0.3766,-0.137881,-0.135811,0.00207
051910.KS,KRX,2026-03-30,2000.0,0.0,-4.4728,-3.8585,0.6143,-0.0033,0.000824,0.002476
006400.KS,KRX,2023-12-27,977.12604,0.0,0.8949,1.1159,-0.221,,,
006400.KS,KRX,2024-12-27,977.12604,0.0,-0.6073,-0.2125,0.3948,-0.186584,-0.185112,0.001472
012330.KS,KRX,2024-03-22,3500.0,0.0,-0.5639,0.7619,-0.198,,,
012330.KS,KRX,2024-06-27,1000.0,0.0,-1.3861,-0.994,0.3921,0.041271,0.048523,-0.007252
012330.KS,KRX,2025-03-21,5000.0,0.0,-1.4787,0.3766,1.1021,0.061254,0.07489,-0.013636
012330.KS,KRX,2025-08-08,1500.0,0.0,-0.5085,-0.0,0.5085,0.08811,0.099448,-0.011338
