ticker,market,split,config_key,retest_line,entry_delay,signal_date,entry_date,exit_date,entry_index,exit_index,entry_price,exit_price,stop_price,target_price,exit_reason,gross_return_pct,return_pct,r_multiple,win,open_gap_vs_confirm_close_pct,pullback_volume_ratio,rebound_volume_ratio,smma200_slope_pct20,atr_tolerance,average_turnover_20,market_regime,earnings_distance_bars
005930.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-11-25,2025-12-02,2025-12-26,573,590,100502.407247,113810.038939,93848.591401,113810.038939,target,13.241107,13.041107,1.969791,True,1.91339,0.885009,0.603291,4.856946,0.5,2257820417259.5312,BULL,-23.0
000660.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-12-09,2025-12-16,2025-12-17,583,584,543905.244104,525941.398438,525941.398438,579832.935436,stop,-3.302753,-3.502753,-1.060556,False,-3.710248,0.759617,0.581842,11.925824,0.5,2059159615208.9937,BULL,29.0
005380.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-11-25,2025-12-02,2025-12-04,573,575,255433.405193,270808.988426,250043.920761,266212.374056,target_gap,6.01941,5.81941,2.758096,True,0.96525,0.526271,0.389009,2.878391,0.5,164592174494.5242,BULL,-12.0
000270.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-08-06,2025-08-13,2025-08-29,500,511,98476.938439,102883.495885,96273.659715,102883.495885,target,4.47471,4.27471,1.910609,True,0.982326,0.616121,0.605631,1.025034,0.5,115985350648.7012,BULL,1.0
000270.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-11-11,2025-11-18,2025-12-16,563,583,111409.218388,115719.976562,104320.409124,125586.836918,time,3.869301,3.669301,0.576675,True,0.258619,0.4079,0.748713,1.876365,0.5,132276100529.8062,BULL,-2.0
068270.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-11-21,2025-11-28,2025-12-26,571,590,176689.300355,170714.30036,170714.30036,188639.300347,stop,-3.381642,-3.581642,-1.059143,False,-0.586967,0.859635,0.644047,0.781232,0.5,189756949017.0508,BULL,-10.0
055550.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-10-16,2025-10-23,2025-11-10,545,557,71180.89362,80554.500624,66494.090118,80554.500624,target,13.168712,12.968712,1.969625,True,0.275093,0.82809,0.842256,3.391163,0.5,94011162442.2821,BULL,3.0
051910.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-12-03,2025-12-10,2025-12-11,579,580,382043.124252,364654.948925,364654.948925,416819.474907,stop,-4.551365,-4.751365,-1.043943,False,1.184211,0.599642,0.564622,2.267782,0.5,118522434821.2078,BULL,-18.0
012330.KS,KRX,train,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2025-08-20,2025-08-27,2025-09-03,509,514,298488.376446,322209.305281,286627.912029,322209.305281,target,7.947019,7.747019,1.949667,True,0.165838,0.536528,0.763638,1.961885,0.5,44785818622.9531,BULL,-8.0
012330.KS,KRX,test,L21|D5|ATR0.50|PV1.0|RVNone|SNone,21,5,2026-06-15,2026-06-22,2026-06-23,706,707,599000.0,534000.0,534000.0,729000.0,stop,-10.851419,-11.051419,-1.018431,False,-6.40625,0.511301,0.477654,9.210084,0.5,654886928350.0,BULL,23.0
