ticker,market,kind,profile,signal_date,price,target,return_pct_needed,predicted_confidence,predicted_days,hit,days_to_hit,stop_first,actionable,realized_return_pct,price_bucket,liquidity_bucket,volatility_bucket,average_turnover,atr_pct,next_open_gap_pct,trend_score,downside_risk_score,breakout_probability_pct,volatility_expanding,strategy_eligible
005930.KS,KRX,risk,conservative,2025-06-30,59058.87109375,60750.0,2.86,75.6,6.4,True,3.0,False,True,1.44,20k_100k,liquid,normal,1131588359936.64,2.693,1.003,4.0,0.0,62.9,False,True
005930.KS,KRX,risk,balanced,2025-06-30,59058.87109375,64050.0,8.45,49.1,24.5,True,13.0,False,True,6.97,20k_100k,liquid,normal,1131588359936.64,2.693,1.003,4.0,0.0,62.9,False,True
005930.KS,KRX,risk,aggressive,2025-06-30,59058.87109375,68700.0,16.32,43.7,56.6,True,20.0,False,True,14.77,20k_100k,liquid,normal,1131588359936.64,2.693,1.003,4.0,0.0,62.9,False,True
005930.KS,KRX,pullback,pullback_main,2025-06-30,59058.87109375,60837.0,3.01,64.0,,True,3.0,False,True,1.59,20k_100k,liquid,normal,1131588359936.64,2.693,1.003,,,,,True
005930.KS,KRX,pullback,pullback_ext,2025-06-30,59058.87109375,69747.0,18.1,43.6,,True,21.0,False,True,16.52,20k_100k,liquid,normal,1131588359936.64,2.693,1.003,,,,,True
005930.KS,KRX,risk,conservative,2025-07-21,66959.71875,68600.0,2.45,74.8,6.4,True,5.0,False,True,1.6,20k_100k,liquid,normal,1274991752431.23,2.36,0.442,4.0,0.0,75.5,False,True
005930.KS,KRX,risk,balanced,2025-07-21,66959.71875,72350.0,8.05,48.7,25.6,True,7.0,False,True,7.17,20k_100k,liquid,normal,1274991752431.23,2.36,0.442,4.0,0.0,75.5,False,True
005930.KS,KRX,risk,aggressive,2025-07-21,66959.71875,77350.0,15.52,42.4,61.4,False,,True,True,-5.09,20k_100k,liquid,normal,1274991752431.23,2.36,0.442,4.0,0.0,75.5,False,True
005930.KS,KRX,pullback,pullback_main,2025-07-21,66959.71875,67947.0,1.47,57.6,,True,5.0,False,True,0.63,20k_100k,liquid,normal,1274991752431.23,2.36,0.442,,,,,True
005930.KS,KRX,pullback,pullback_ext,2025-07-21,66959.71875,77363.0,15.54,41.0,,True,40.0,False,True,14.63,20k_100k,liquid,normal,1274991752431.23,2.36,0.442,,,,,True
005930.KS,KRX,risk,conservative,2025-08-11,70120.0625,72700.0,3.68,74.1,8.2,True,23.0,False,True,3.13,20k_100k,liquid,normal,1422398027167.16,2.958,0.141,3.0,12.0,46.9,False,True
005930.KS,KRX,risk,balanced,2025-08-11,70120.0625,76350.0,8.88,47.6,28.5,False,,True,True,-4.41,20k_100k,liquid,normal,1422398027167.16,2.958,0.141,3.0,12.0,46.9,False,True
005930.KS,KRX,risk,aggressive,2025-08-11,70120.0625,81950.0,16.87,42.3,59.2,False,,True,True,-5.34,20k_100k,liquid,normal,1422398027167.16,2.958,0.141,3.0,12.0,46.9,False,True
005930.KS,KRX,pullback,pullback_main,2025-08-11,70120.0625,73083.0,4.23,64.9,,True,23.0,False,True,3.68,20k_100k,liquid,normal,1422398027167.16,2.958,0.141,,,,,True
005930.KS,KRX,pullback,pullback_ext,2025-08-11,70120.0625,93455.0,33.28,43.7,,True,37.0,False,True,32.69,20k_100k,liquid,normal,1422398027167.16,2.958,0.141,,,,,True
005930.KS,KRX,risk,conservative,2025-09-02,68243.609375,70050.0,2.65,69.9,15.0,True,5.0,False,True,2.1,20k_100k,liquid,normal,927672024419.8,1.788,0.145,1.0,42.0,16.4,False,True
005930.KS,KRX,risk,balanced,2025-09-02,68243.609375,73550.0,7.78,42.6,52.6,True,8.0,False,True,7.22,20k_100k,liquid,normal,927672024419.8,1.788,0.145,1.0,42.0,16.4,False,True
005930.KS,KRX,risk,aggressive,2025-09-02,68243.609375,77250.0,13.2,33.2,116.9,True,10.0,False,True,12.63,20k_100k,liquid,normal,927672024419.8,1.788,0.145,1.0,42.0,16.4,False,True
005930.KS,KRX,pullback,pullback_main,2025-09-02,68243.609375,73083.0,7.09,64.1,,True,8.0,False,True,6.54,20k_100k,liquid,normal,927672024419.8,1.788,0.145,,,,,True
005930.KS,KRX,pullback,pullback_ext,2025-09-02,68243.609375,79799.0,16.93,43.7,,True,13.0,False,True,16.36,20k_100k,liquid,normal,927672024419.8,1.788,0.145,,,,,True
005930.KS,KRX,risk,conservative,2025-09-24,84341.59375,87300.0,3.51,74.1,10.1,True,6.0,False,True,4.33,20k_100k,liquid,normal,1311485502010.51,2.25,-1.171,4.0,8.0,78.1,True,True
005930.KS,KRX,risk,balanced,2025-09-24,84341.59375,91700.0,8.72,47.4,31.9,True,7.0,False,True,9.61,20k_100k,liquid,normal,1311485502010.51,2.25,-1.171,4.0,8.0,78.1,True,True
005930.KS,KRX,risk,aggressive,2025-09-24,84341.59375,96250.0,14.12,42.2,65.6,False,,True,True,-2.68,20k_100k,liquid,normal,1311485502010.51,2.25,-1.171,4.0,8.0,78.1,True,True
005930.KS,KRX,pullback,pullback_main,2025-09-24,84341.59375,85684.0,1.59,59.7,,True,6.0,False,True,2.4,20k_100k,liquid,normal,1311485502010.51,2.25,-1.171,,,,,True
005930.KS,KRX,pullback,pullback_ext,2025-09-24,84341.59375,96249.0,14.12,42.7,,True,11.0,False,True,15.07,20k_100k,liquid,normal,1311485502010.51,2.25,-1.171,,,,,True
005930.KS,KRX,risk,conservative,2025-10-22,97812.4609375,100550.0,2.8,73.0,5.7,True,3.0,False,True,4.31,20k_100k,liquid,normal,2149672294132.57,3.253,-1.826,4.0,8.0,92.0,True,True
